Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_RSI,Exit_RSI
-0.11860576,647,653,42135.4,42767.32949999999,42767.32949999999,40871.241,-79.98545499313006,5.03497637921096,-0.016005089894720236,2024-01-27 23:00:00,2024-01-28 05:00:00,0 days 06:00:00,,86.6250410778826,75.29194837123518
-0.11101421,913,927,44656.7,45326.55049999999,45326.55049999999,43316.998999999996,-79.35763380934932,4.994709733744802,-0.016007499999999904,2024-02-08 01:00:00,2024-02-08 15:00:00,0 days 14:00:00,,90.13133208255175,74.56256711515394
-0.09021677,1368,1369,54511.700000000004,55329.27399999999,55329.27399999999,52876.252,-78.71363445994595,4.95474894396699,-0.01600563708341495,2024-02-27 00:00:00,2024-02-27 01:00:00,0 days 01:00:00,,91.96178879897032,95.33867443554257
-0.0873392,1370,1370,55857.3,56695.261,56695.261,54181.678,-78.10196868904498,4.9151253178456,-0.016009318039002796,2024-02-27 02:00:00,2024-02-27 02:00:00,0 days 00:00:00,,95.68763742109367,95.68763742109367
-0.08576295,1371,1380,56428.8,57275.231999999996,57275.231999999996,54735.936,-77.46830190000662,4.875796605607199,-0.016007499999999904,2024-02-27 03:00:00,2024-02-27 12:00:00,0 days 09:00:00,,85.89437494031137,73.1338759958434
-0.07677547,1409,1409,62530.2,63468.25449999999,63468.25449999999,60654.391,-76.85637040486982,4.836795281755558,-0.01600912402726984,2024-02-28 17:00:00,2024-02-28 17:00:00,0 days 00:00:00,,78.27222173405471,78.27222173405471
0.07211931,2219,2219,66034.7,65508.208,65508.208,67027.04749999999,-42.71363164069639,4.743391880176739,-0.008968973191367548,2024-04-02 11:00:00,2024-04-02 11:00:00,0 days 00:00:00,,8.891019361831013,8.891019361831013
0.07217916,2220,2221,65684.2,65158.72640000001,65158.72640000001,66669.463,-42.65030930992282,4.722066259746912,-0.008996000000000007,2024-04-02 12:00:00,2024-04-02 13:00:00,0 days 01:00:00,,6.047947693425584,5.957539856081013
0.07231187,2222,2222,65268.9,66247.832,64746.649600000004,66247.832,66.03329310923465,4.75511041360442,0.013990945672441107,2024-04-02 14:00:00,2024-04-02 14:00:00,0 days 00:00:00,,14.838709677419345,14.838709677419345
-0.06903302,2274,2285,68847.0,66781.978,69880.11099999999,66781.978,137.87326605101381,4.681438975426779,0.029009361497233165,2024-04-04 18:00:00,2024-04-05 05:00:00,0 days 11:00:00,,91.55199395607367,43.12713472485761
-0.06653023,2364,2383,72472.6,70298.422,73559.689,70298.422,139.89926793544288,4.749294465497531,0.029015000000000138,2024-04-08 12:00:00,2024-04-09 07:00:00,0 days 19:00:00,,87.00705177031399,24.99421162306058
0.07353179,2467,2473,66522.7,65990.4192,65990.4192,67520.439,-44.01152343326097,4.8719634266296845,-0.008997490474679891,2024-04-12 19:00:00,2024-04-13 01:00:00,0 days 06:00:00,,12.233547892999795,12.914230019493203
-0.08221294,2944,2964,59230.8,60119.1605,60119.1605,57453.779,-77.9407840556642,4.906055570794436,-0.016005785507708866,2024-05-02 16:00:00,2024-05-03 12:00:00,0 days 20:00:00,,81.7474296481379,67.05823871069029
-0.07662163,2977,2986,63044.7,63990.37049999999,63990.37049999999,61153.359,-77.32563223735184,4.866817084437457,-0.016007499999999904,2024-05-04 01:00:00,2024-05-04 10:00:00,0 days 09:00:00,,89.97397002064469,71.9464099292427
-0.07433323,3255,3258,64465.7,65432.68549999999,65432.68549999999,62531.72899999999,-76.7070388611648,4.827883283000082,-0.016007499999999904,2024-05-15 15:00:00,2024-05-15 18:00:00,0 days 03:00:00,,92.05654380192948,94.47181043539166
-0.07236968,3259,3276,65685.1,66670.275,66670.275,63714.450000000004,-76.0860575615142,4.789258067515,-0.016005953975863397,2024-05-15 19:00:00,2024-05-16 12:00:00,0 days 17:00:00,,94.77389596345262,47.72198353025401
0.070401,3899,3903,66981.8,66445.8464,66445.8464,67986.4255,-42.42838926070434,4.696719867103201,-0.008997480258816866,2024-06-11 11:00:00,2024-06-11 15:00:00,0 days 04:00:00,,6.7103319848457375,10.690465603760671
0.08179634,4605,4609,57391.1,58251.966499999995,56931.97119999999,58251.966499999995,65.68613913557132,4.729589793038304,0.013992499999999903,2024-07-10 21:00:00,2024-07-11 01:00:00,0 days 04:00:00,,10.842759604605291,45.29239105892958
-0.07070151,4822,4868,66861.5,67864.321,67864.321,64855.55799999999,-75.66361845005453,4.762659490344855,-0.01600598117750857,2024-07-19 22:00:00,2024-07-21 20:00:00,1 days 22:00:00,,86.52446548641342,63.46779526517645
0.08018816000000001,5373,5383,58479.9,58012.16,58012.16,59357.2,-42.17785193140434,4.6706419730048,-0.008994304538824337,2024-08-11 21:00:00,2024-08-12 07:00:00,0 days 10:00:00,,18.054726792259956,28.734194063623022
-0.07704956,5572,5583,60588.5,58770.942,61497.42899999999,58770.942,135.4437479305073,4.598296243972761,0.02901339823563884,2024-08-20 04:00:00,2024-08-20 15:00:00,0 days 11:00:00,,89.71168757930388,29.02396379718182
-0.07795778,5800,5802,60750.9,58928.373,61662.163499999995,58928.373,137.41519369251282,4.664965217546969,0.029014999999999916,2024-08-29 16:00:00,2024-08-29 18:00:00,0 days 02:00:00,,75.79111111111091,49.54990524320915
-0.07369139,6472,6494,65200.0,66178.0,66178.0,63243.99999999999,-76.91089313770944,4.84071371771,-0.016007499999999904,2024-09-26 16:00:00,2024-09-27 14:00:00,0 days 22:00:00,,89.71824811700449,68.84514135286722
0.07841962,6597,6602,60778.69999999999,61690.380499999985,60292.47039999999,61690.380499999985,66.69164899412961,4.801989377279704,0.013992499999999903,2024-10-01 21:00:00,2024-10-02 02:00:00,0 days 05:00:00,,11.035649092666176,29.610288722972797
-0.07632919,6834,6891,62879.899999999994,63823.2,63823.2,60993.59999999999,-76.83689742374442,4.835572496744501,-0.016009114995411963,2024-10-11 18:00:00,2024-10-14 03:00:00,2 days 09:00:00,,90.99699899966626,71.78703215603578
-0.05524626,7580,7580,86180.9,87473.715,87473.715,83595.56999999999,-76.2200776271449,4.79688400524495,-0.016008678344041325,2024-11-11 20:00:00,2024-11-11 20:00:00,0 days 00:00:00,,95.03965566541746,95.03965566541746
-0.05433457,7581,7581,86925.9,88229.89,88229.89,84318.22,-75.61024320063039,4.758507266330151,-0.016008668245022457,2024-11-11 21:00:00,2024-11-11 21:00:00,0 days 00:00:00,,95.60562629158048,95.60562629158048
-0.05324852,7582,7583,87989.2,89309.03799999999,89309.03799999999,85349.52399999999,-74.99985452581369,4.7204343860538795,-0.016007499999999904,2024-11-11 22:00:00,2024-11-11 23:00:00,0 days 01:00:00,,95.59199176173209,95.70273794002598
-0.05238213,7584,7591,88729.0,90059.8335,90059.8335,86067.033,-74.39456336482728,4.682669959472678,-0.01600635549538475,2024-11-12 00:00:00,2024-11-12 07:00:00,0 days 07:00:00,,95.72785835569199,77.21848318655424
-0.048195180000000004,8775,8822,95665.9,97100.98999999999,97100.98999999999,92796.01999999999,-73.80963834699448,4.6452174807951,-0.016008561514604305,2024-12-31 15:00:00,2025-01-02 14:00:00,1 days 23:00:00,,90.94107299912032,75.02676213811678
0.04671123,8944,8945,97915.39999999998,97131.9776,97131.9776,99384.02949999999,-41.15007537153694,4.5554514579852246,-0.008997012612929008,2025-01-07 16:00:00,2025-01-07 17:00:00,0 days 01:00:00,,8.587842689984498,7.233728958187825
0.04681899,8946,8947,97250.8,96472.89279999999,96472.89279999999,98709.66349999998,-40.95580323571167,4.534973817983136,-0.008994980466998804,2025-01-07 18:00:00,2025-01-07 19:00:00,0 days 01:00:00,,6.62816525988444,4.882353949239757
0.04700364,8948,8958,96433.3,95661.83360000001,95661.83360000001,97879.7995,-40.776314190439045,4.514585252743153,-0.008996000000000007,2025-01-07 20:00:00,2025-01-08 06:00:00,0 days 10:00:00,,4.870942309669843,25.19127462152052
-0.04763116,9010,9082,94735.0,91892.853,96155.92349999999,91892.853,130.9301079371703,4.4446505633497395,0.029016024420752618,2025-01-10 10:00:00,2025-01-13 10:00:00,3 days 00:00:00,,100.0,26.005100273903636
-0.04818757,9103,9105,94999.0,96423.88349999998,96423.88349999998,92148.93299999999,-73.2737751972232,4.612101799129047,-0.016006431033484453,2025-01-14 07:00:00,2025-01-14 09:00:00,0 days 02:00:00,,88.31289730563631,92.33693756539951
-0.04675339,9106,9133,97129.9,98586.94999999998,98586.94999999998,94216.09999999999,-72.69724000830998,4.5752131088107495,-0.016008545514820737,2025-01-14 10:00:00,2025-01-15 13:00:00,1 days 03:00:00,,81.38501020470025,72.52194792526473
0.0444947,9410,9412,101244.0,100434.1472,100434.1472,102762.76149999998,-40.52096170827019,4.486804328109921,-0.008995020678756366,2025-01-27 02:00:00,2025-01-27 04:00:00,0 days 02:00:00,,7.383047303772145,11.673211021596472
0.04533625,9415,9415,98918.00000000001,98126.55679999999,98126.55679999999,100401.66849999999,-40.34769742011268,4.466630644112,-0.008997002349420838,2025-01-27 07:00:00,2025-01-27 07:00:00,0 days 00:00:00,,9.858695652173878,9.858695652173878
0.04509671,9416,9418,98996.29999999999,98204.3296,98204.3296,100481.24449999999,-40.16180925982786,4.4465498024443075,-0.008995999999999896,2025-01-27 08:00:00,2025-01-27 10:00:00,0 days 02:00:00,,6.8280301224249484,10.448535443709972
0.0467884,9788,9790,94988.0,96412.81999999999,94228.096,96412.81999999999,62.18737902475538,4.477669063244001,0.013992499999999903,2025-02-11 20:00:00,2025-02-11 22:00:00,0 days 02:00:00,,15.32903512672307,28.57856486778286
0.05436316,10410,10413,82324.4,81665.7056,81665.7056,83559.1645,-40.26621923287865,4.457510174574848,-0.008997204386548809,2025-03-09 18:00:00,2025-03-09 21:00:00,0 days 03:00:00,,15.058234551811026,16.927099942598474
-0.05239258,10742,10752,85036.7,86312.2505,86312.2505,82485.59899999999,-71.3180884137835,4.488706798493645,-0.016007499999999904,2025-03-23 14:00:00,2025-03-24 00:00:00,0 days 10:00:00,,78.95750417255064,80.57994770323553
0.05253115,10863,10881,84133.9,83460.82879999999,83460.82879999999,85395.90849999999,-39.75917608678113,4.40197191890106,-0.008996000000000007,2025-03-28 15:00:00,2025-03-29 09:00:00,0 days 18:00:00,,7.98395820690736,45.2089762639539
0.05564652,11083,11086,79066.6,78434.0672,78434.0672,80252.599,-39.58043111953535,4.382182013679072,-0.008996000000000007,2025-04-06 19:00:00,2025-04-06 22:00:00,0 days 03:00:00,,16.29495644844053,14.399563475538883
0.058368960000000004,11140,11140,75039.9,76165.59999999999,74439.68,76165.59999999999,61.29308438135987,4.41285389064,0.01399385193743582,2025-04-09 04:00:00,2025-04-09 04:00:00,0 days 00:00:00,,32.04085195530729,32.04085195530729
-0.04256261,12539,12543,103626.9,105181.20199999999,105181.20199999999,100517.996,-70.59885875335287,4.44370890513311,-0.01600652003485586,2025-06-06 11:00:00,2025-06-06 15:00:00,0 days 04:00:00,,95.956706609973,94.91567735493143
-0.04165596,12544,12609,105035.39999999998,106610.93099999998,106610.93099999998,101884.33799999997,-70.03842186390119,4.40816554914138,-0.016007499999999904,2025-06-06 16:00:00,2025-06-09 09:00:00,2 days 17:00:00,,85.91253742200826,55.26680298133366
0.04190569,12809,12811,103574.20000000001,105127.813,102745.6064,105127.813,60.73232382839275,4.372900929576986,0.013992499999999903,2025-06-17 17:00:00,2025-06-17 19:00:00,0 days 02:00:00,,4.23114876410969,23.170223499221407
0.03709792,14201,14223,117815.2,116872.6784,116872.6784,119582.42799999999,-39.31880698399838,4.353216068926464,-0.008996000000000007,2025-08-14 17:00:00,2025-08-15 15:00:00,0 days 22:00:00,,7.045034121469328,27.29477973995718
-0.03820987,14847,14880,113872.4,115580.48599999999,115580.48599999999,110456.228,-69.6494264814119,4.38368247259241,-0.016007499999999904,2025-09-10 15:00:00,2025-09-12 00:00:00,1 days 09:00:00,,89.18234143923317,75.875014439182
-0.03857873,15287,15302,111881.39999999998,113559.72249999999,113559.72249999999,108525.05500000001,-69.09616667833721,4.348616097912212,-0.016008407664276712,2025-09-28 23:00:00,2025-09-29 14:00:00,0 days 15:00:00,,92.59665301647654,75.29050392651202
0.03768907,15575,15575,113606.2,112697.44960000002,112697.44960000002,115310.39450000001,-38.51454448364215,4.264587045514936,-0.008995127244815682,2025-10-10 23:00:00,2025-10-10 23:00:00,0 days 00:00:00,,7.148451620677278,7.148451620677278
0.037816300000000004,15576,15576,112714.99999999999,111813.1808,111813.1808,114405.6235,-38.34887793475293,4.24541252179352,-0.00899687965576888,2025-10-11 00:00:00,2025-10-11 00:00:00,0 days 00:00:00,,5.175253821042531,5.175253821042531
0.037730520000000003,15577,15577,112463.3,111563.59360000002,111563.59360000002,114150.24949999999,-38.17271591408402,4.226325594756336,-0.008995999999999896,2025-10-11 01:00:00,2025-10-11 01:00:00,0 days 00:00:00,,4.121227045662465,4.121227045662465
0.0380355,15578,15578,111060.0,112725.89999999998,110171.51999999999,112725.89999999998,59.1074351502743,4.255904299725,0.013992499999999903,2025-10-11 02:00:00,2025-10-11 02:00:00,0 days 00:00:00,,18.910757055086975,18.910757055086975
0.03824039,15658,15658,111237.4,110347.5008,110347.5008,112905.961,-38.26683898103951,4.236746512351656,-0.008996000000000007,2025-10-14 10:00:00,2025-10-14 10:00:00,0 days 00:00:00,,1.5794086267335956,1.5794086267335956
0.0382969,15659,15663,110573.9,112232.50849999998,109689.30879999998,112232.50849999998,59.25316649080799,4.2663973728418245,0.013992499999999903,2025-10-14 11:00:00,2025-10-14 15:00:00,0 days 04:00:00,,12.69626421223603,40.13006885998474
0.04932864,16555,16558,86445.7,87742.38549999999,85754.1344,87742.38549999999,59.66750154176035,4.29623068095936,0.013992499999999903,2025-11-20 19:00:00,2025-11-20 22:00:00,0 days 03:00:00,,11.86048378465155,25.800667073126988
-0.04701433,16707,16742,91335.3,92705.431,92705.431,88595.33799999999,-68.74206680756726,4.3262758303376145,-0.016008611845584275,2025-11-27 03:00:00,2025-11-28 14:00:00,1 days 11:00:00,,85.45334310378739,61.30102377081589
0.04934845,16804,16805,86319.1,85628.6464,85628.6464,87613.98799999998,-38.315492339836474,4.24267738291654,-0.008994851350396325,2025-12-01 04:00:00,2025-12-01 05:00:00,0 days 01:00:00,,8.580742810571437,11.242072258248214
0.04920021,16807,16812,86190.0,85500.38079999998,85500.38079999998,87482.74849999999,-38.1530108552022,4.223601395169984,-0.008997150370112608,2025-12-01 07:00:00,2025-12-01 12:00:00,0 days 05:00:00,,13.599576986913092,14.721995143913631
-0.04793432,17242,17304,88068.4,89389.3245,89389.3245,85426.251,-67.57077535516754,4.253157676327421,-0.01600634691046956,2025-12-19 10:00:00,2025-12-22 00:00:00,2 days 14:00:00,,91.1396935465831,49.07374035897053
